Step,v_hf_bsurf,v_hf_bsolv
17020,92540704000,105116520
17040,-44398391000,18083805000
17060,-1.32026E+11,7525357700
17080,91625721000,13392103000
17100,-8981422200,-6359628100
17120,1.02355E+11,-13683979000
17140,-34690497000,10657582000
17160,34574136000,-10327860000
17180,432561960,-18920361000
17200,-1.30099E+11,-39320841000
17220,1.62396E+11,-14399756000
17240,-1.36617E+11,-7686179400
17260,2576451800,-23872382000
17280,30131311000,-36475764000
17300,-68987533000,-33228003000
17320,1.0046E+11,-15797313000
17340,-21110931000,3911041400
17360,17456816000,-8717427900
17380,-97219477000,-12776380000
17400,63388566000,-13915317000
17420,-56736538000,-2282780200
17440,-69691705000,-34263707000
17460,2.3044E+11,-12611581000
17480,-1.63128E+11,-4692810600
17500,21860388000,10985791000
17520,-27875322000,-21088553000
17540,-78803915000,12999110000
17560,87456127000,-8375121400
17580,-84856225000,1434891300
17600,1.11704E+11,-4517141000
17620,-1.60287E+11,461265440
17640,1.34557E+11,-736566290
17660,14671897000,-10220148000
17680,-1.24623E+11,-44384837000
17700,1.09549E+11,26823013000
17720,-44944894000,-1725985700
17740,44243315000,29162461000
17760,-10441669000,17456103000
17780,5784508100,-10932217000
17800,1.07106E+11,13075221000
17820,-1.32668E+11,-9871661200
17840,80860776000,-23091489000
17860,-30298770000,3072634700
17880,32760918000,65715390000
17900,29324251000,-53173191000
17920,-1.11543E+11,-11820537000
17940,54081559000,-37516013000
17960,-1.36514E+11,-24022349000
17980,1.28114E+11,38824559000
18000,-51704607000,-15814432000
18020,54400025000,8652014600
18040,43696770000,-5979455300
18060,-1.28202E+11,23117014000
18080,1.2621E+11,-32690420000
18100,-63234791000,24842375000
18120,80786820000,-14454772000
18140,-72166290000,-7829895000
18160,23721104000,11307636000
18180,82463536000,165461960
18200,-50095576000,-64412009000
18220,1.39587E+11,4223084200
18240,-74281320000,-28917651000
18260,-41729575000,-10106833000
18280,-13060631000,42761020000
18300,-99883830000,-2142501400
18320,2.3168E+11,-15513359000
18340,-2.15443E+11,-24493951000
